date,cases,new cases,deaths,new deaths,recoveries,new recoveries
2020-01-25,4,4,0,0,0,0
2020-01-26,4,0,0,0,0,0
2020-01-27,4,0,0,0,0,0
2020-01-28,4,0,0,0,0,0
2020-01-29,7,3,0,0,0,0
2020-01-30,8,1,0,0,0,0
2020-01-31,8,0,0,0,0,0
2020-02-01,8,0,0,0,0,0
2020-02-02,8,0,0,0,0,0
2020-02-03,8,0,0,0,0,0
2020-02-04,10,2,0,0,1,1
2020-02-05,12,2,0,0,1,0
2020-02-06,14,2,0,0,1,0
2020-02-07,15,1,0,0,1,0
2020-02-08,16,1,0,0,2,1
2020-02-09,17,1,0,0,2,0
2020-02-10,18,1,0,0,3,1
2020-02-11,18,0,0,0,3,0
2020-02-12,18,0,0,0,3,0
2020-02-13,19,1,0,0,3,0
2020-02-14,19,0,0,0,7,4
2020-02-15,22,3,0,0,7,0
2020-02-16,22,0,0,0,8,1
2020-02-17,22,0,0,0,9,1
2020-02-18,22,0,0,0,13,4
2020-02-19,22,0,0,0,15,2
2020-02-20,22,0,0,0,17,2
2020-02-21,22,0,0,0,17,0
2020-02-22,22,0,0,0,17,0
2020-02-23,22,0,0,0,18,1
2020-02-24,22,0,0,0,20,2
2020-02-25,22,0,0,0,20,0
2020-02-26,22,0,0,0,20,0
2020-02-27,23,1,0,0,22,2
2020-02-28,25,2,0,0,22,0
2020-02-29,25,0,0,0,22,0
2020-03-01,29,4,0,0,22,0
2020-03-02,29,0,0,0,22,0
2020-03-03,36,7,0,0,22,0
2020-03-04,50,14,0,0,22,0
2020-03-05,55,5,0,0,23,1
2020-03-06,83,28,0,0,23,0
2020-03-07,93,10,0,0,23,0
2020-03-08,99,6,0,0,24,1
2020-03-09,117,18,0,0,24,0
2020-03-10,129,12,0,0,25,1
2020-03-11,149,20,0,0,26,1
2020-03-12,158,9,0,0,32,6
2020-03-13,197,39,0,0,33,1
2020-03-14,238,41,0,0,35,2
2020-03-15,428,190,0,0,42,7
2020-03-16,553,125,0,0,42,0
2020-03-17,673,120,2,2,49,7
2020-03-18,790,117,2,0,60,11
2020-03-19,900,110,2,0,75,15
2020-03-20,1030,130,3,1,87,12
2020-03-21,1183,153,8,5,114,27
2020-03-22,1306,123,11,3,139,25
2020-03-23,1518,212,14,3,159,20
2020-03-24,1624,106,16,2,183,24
2020-03-25,1796,172,20,4,199,16
2020-03-26,2031,235,24,4,215,16
2020-03-27,2161,130,26,2,259,44
2020-03-28,2320,159,27,1,320,61
2020-03-29,2470,150,34,7,388,68
2020-03-30,2626,156,37,3,479,91
2020-03-31,2766,140,43,6,537,58
2020-04-01,2908,142,45,2,645,108
2020-04-02,3116,208,50,5,767,122
2020-04-03,3333,217,53,3,827,60
2020-04-04,3483,150,57,4,915,88
2020-04-05,3662,179,61,4,1005,90
2020-04-06,3793,131,62,1,1241,236
2020-04-07,3963,170,63,1,1321,80
2020-04-08,4119,156,65,2,1487,166
2020-04-09,4228,109,67,2,1608,121
2020-04-10,4346,118,70,3,1830,222
2020-04-11,4530,184,73,3,1995,165
2020-04-12,4683,153,76,3,2108,113
2020-04-13,4817,134,77,1,2276,168
2020-04-14,4987,170,82,5,2478,202
2020-04-15,5072,85,83,1,2647,169
2020-04-16,5182,110,84,1,2766,119
2020-04-17,5251,69,86,2,2967,201
2020-04-18,5305,54,88,2,3102,135
2020-04-19,5389,84,89,1,3197,95
2020-04-20,5425,36,89,0,3295,98
2020-04-21,5482,57,92,3,3349,54
2020-04-22,5532,50,93,1,3452,103
2020-04-23,5603,71,95,2,3542,90
2020-04-24,5691,88,96,1,3663,121
2020-04-25,5742,51,98,2,3762,99
2020-04-26,5780,38,98,0,3862,100
2020-04-27,5820,40,99,1,3957,95
2020-04-28,5851,31,100,1,4032,75
2020-04-29,5945,94,100,0,4087,55
2020-04-30,6002,57,102,2,4171,84
2020-05-01,6071,69,103,1,4210,39
2020-05-02,6176,105,103,0,4326,116
2020-05-03,6298,122,105,2,4413,87
2020-05-04,6353,55,105,0,4484,71
